date,categorie,produit,qte,CA
2024-09-19,Sport,Raquette tennis,5,3530.95
2024-09-19,Mode,Pull laine,1,884.49
2024-09-21,Mode,T-shirt coton,6,3028.02
2024-09-21,Maison,Rideau occultant,1,101.21
2024-09-21,Mode,Baskets ville,4,1842.04
2024-09-21,Bricolage,Peinture 5L,2,1218.0
2024-09-22,Maison,Canapé 3 places,3,738.69
2024-09-22,Mode,T-shirt coton,1,504.67
2024-09-23,Bricolage,Tournevis set,4,2417.86
2024-09-23,Sport,Tapis yoga,1,658.36
2024-09-23,Sport,Haltères 10kg,1,98.3
2024-09-25,Maison,Rideau occultant,2,202.42
2024-09-25,Bricolage,Perceuse,1,105.66
2024-09-25,Électroménager,Réfrigérateur,1,309.9
2024-09-25,Électroménager,Aspirateur,2,382.36
2024-09-26,Bricolage,Boîte à outils,5,416.05
2024-09-26,Électroménager,Cafetière,2,784.48
2024-09-26,Électroménager,Réfrigérateur,2,774.74
2024-09-26,Sport,Ballon foot,3,300.3
2024-09-27,Électroménager,Réfrigérateur,3,1162.11
2024-09-27,Sport,Tapis yoga,2,1250.88
2024-09-28,Sport,Maillot bain,3,1052.31
2024-09-29,Électroménager,Micro-ondes,1,430.5
2024-09-30,Mode,Baskets ville,4,1842.04
2024-09-30,Maison,Set casseroles,4,2827.4
2024-09-30,Sport,Maillot bain,3,1052.31
2024-09-30,Bricolage,Tournevis set,1,636.28
2024-09-30,Électroménager,Réfrigérateur,3,1162.11
2024-10-01,Sport,Vélo VTT,1,545.21
2024-10-01,Sport,Haltères 10kg,3,294.9
2024-10-01,Bricolage,Perceuse,4,422.64
2024-10-02,Électroménager,Micro-ondes,3,1359.48
2024-10-03,Maison,Lampe LED,2,268.44
2024-10-03,Maison,Étagère bois,2,503.26
2024-10-04,Bricolage,Échelle alu,1,354.67
2024-10-04,Électroménager,Réfrigérateur,1,387.37
2024-10-04,Maison,Canapé 3 places,1,221.61
2024-10-04,Sport,Raquette tennis,3,2118.57
2024-10-04,Mode,Veste hiver,4,2623.96
2024-10-05,Sport,Maillot bain,5,1753.85
2024-10-05,Mode,Baskets ville,1,460.51
2024-10-05,Mode,Baskets ville,1,460.51
2024-10-05,Mode,T-shirt coton,2,1009.34
2024-10-05,Sport,Haltères 10kg,2,176.94
2024-10-06,Sport,Maillot bain,1,350.77
2024-10-06,Électroménager,Robot cuiseur,2,499.94
2024-10-06,Maison,Rideau occultant,2,192.3
2024-10-06,Maison,Étagère bois,1,279.59
2024-10-07,Sport,Ballon foot,2,190.19
2024-10-07,Électroménager,Réfrigérateur,1,387.37
2024-10-07,Électroménager,Bouilloire,3,2178.12
2024-10-08,Maison,Étagère bois,3,838.77
2024-10-09,Maison,Set casseroles,3,2120.55
2024-10-10,Sport,Maillot bain,1,350.77
2024-10-11,Mode,Jean homme,3,816.81
2024-10-11,Maison,Lampe LED,4,536.88
2024-10-11,Mode,Baskets ville,1,437.48
2024-10-12,Sport,Chaussures running,4,2278.12
2024-10-12,Maison,Set casseroles,1,636.17
2024-10-12,Sport,Ballon foot,5,500.5
2024-10-12,Mode,T-shirt coton,3,1362.61
2024-10-13,Mode,Veste hiver,1,655.99
2024-10-13,Sport,Tapis yoga,1,658.36
2024-10-13,Bricolage,Échelle alu,3,851.21
2024-10-15,Bricolage,Échelle alu,2,709.34
2024-10-15,Sport,Tapis yoga,1,658.36
2024-10-15,Sport,Raquette tennis,3,2118.57
2024-10-16,Sport,Vélo VTT,4,1962.76
2024-10-16,Maison,Set casseroles,1,671.51
2024-10-16,Sport,Tapis yoga,1,658.36
2024-10-17,Bricolage,Boîte à outils,3,237.15
2024-10-17,Sport,Raquette tennis,3,2118.57
2024-10-17,Mode,Robe été,1,296.52
2024-10-17,Électroménager,Micro-ondes,5,2265.8
2024-10-18,Maison,Canapé 3 places,3,738.69
2024-10-18,Électroménager,Cafetière,4,1568.96
2024-10-19,Maison,Canapé 3 places,5,1231.15
2024-10-19,Électroménager,Bouilloire,4,2904.16
2024-10-19,Électroménager,Bouilloire,1,726.04
2024-10-20,Bricolage,Tournevis set,1,604.47
2024-10-20,Maison,Rideau occultant,3,303.63
2024-10-21,Bricolage,Peinture 5L,3,1827.0
2024-10-21,Électroménager,Micro-ondes,5,2039.22
2024-10-23,Sport,Haltères 10kg,4,373.54
2024-10-23,Électroménager,Aspirateur,1,172.06
2024-10-23,Sport,Tapis yoga,4,2633.44
2024-10-23,Électroménager,Micro-ondes,3,1359.48
2024-10-24,Maison,Set casseroles,4,2827.4
2024-10-24,Maison,Canapé 3 places,4,984.92
2024-10-24,Maison,Lampe LED,4,536.88
2024-10-25,Maison,Étagère bois,3,838.77
2024-10-25,Mode,Robe été,1,296.52
2024-10-25,Sport,Maillot bain,4,1403.08
2024-10-25,Bricolage,Échelle alu,3,957.61
2024-10-25,Maison,Set casseroles,3,1908.5
2024-10-25,Électroménager,Aspirateur,4,764.72
2024-10-26,Bricolage,Tournevis set,2,1145.3
2024-10-27,Mode,T-shirt coton,1,504.67
2024-10-27,Maison,Rideau occultant,3,303.63
2024-10-27,Électroménager,Micro-ondes,3,1359.48
2024-10-28,Sport,Raquette tennis,3,2118.57
2024-10-29,Maison,Étagère bois,2,559.18
2024-10-29,Mode,Robe été,3,889.56
2024-10-29,Électroménager,Cafetière,3,1176.72
2024-10-29,Maison,Rideau occultant,4,404.84
2024-10-30,Électroménager,Robot cuiseur,2,474.94
2024-10-30,Sport,Ballon foot,1,100.1
2024-10-30,Sport,Tapis yoga,2,1316.72
2024-10-30,Sport,Tapis yoga,1,658.36
2024-10-30,Électroménager,Réfrigérateur,2,774.74
2024-10-30,Sport,Maillot bain,3,1052.31
2024-10-30,Sport,Haltères 10kg,1,93.38
2024-10-31,Maison,Canapé 3 places,2,492.46
2024-10-31,Bricolage,Boîte à outils,4,316.2
2024-10-31,Maison,Couette 220x240,5,1120.45
2024-10-31,Sport,Ballon foot,1,100.1
2024-11-01,Sport,Vélo VTT,2,872.34
2024-11-02,Électroménager,Robot cuiseur,4,999.88
2024-11-02,Bricolage,Échelle alu,1,354.67
2024-11-02,Maison,Set casseroles,2,1413.7
2024-11-02,Mode,Baskets ville,3,1381.53
2024-11-02,Mode,Jean homme,2,544.54
2024-11-03,Sport,Ballon foot,2,200.2
2024-11-03,Bricolage,Peinture 5L,1,609.0
2024-11-04,Sport,Chaussures running,3,1708.59
2024-11-04,Sport,Raquette tennis,3,2118.57
2024-11-04,Sport,Ballon foot,3,285.28
2024-11-05,Mode,Baskets ville,1,460.51
2024-11-05,Bricolage,Tournevis set,1,636.28
2024-11-05,Mode,Robe été,1,296.52
2024-11-06,Maison,Rideau occultant,2,202.42
2024-11-06,Sport,Tapis yoga,2,1185.05
2024-11-07,Sport,Raquette tennis,1,670.88
2024-11-07,Électroménager,Réfrigérateur,4,1549.48
2024-11-09,Sport,Tapis yoga,1,658.36
2024-11-09,Mode,Robe été,4,1126.78
2024-11-09,Sport,Raquette tennis,3,2118.57
2024-11-09,Bricolage,Perceuse,3,316.98
2024-11-10,Bricolage,Échelle alu,2,709.34
2024-11-10,Sport,Raquette tennis,2,1412.38
2024-11-11,Sport,Haltères 10kg,1,93.38
2024-11-11,Électroménager,Cafetière,3,1176.72
2024-11-11,Maison,Rideau occultant,1,101.21
2024-11-12,Maison,Lampe LED,2,268.44
2024-11-13,Bricolage,Perceuse,5,528.3
2024-11-13,Sport,Tapis yoga,2,1316.72
2024-11-13,Sport,Vélo VTT,3,1635.63
2024-11-14,Mode,Robe été,2,563.39
2024-11-14,Mode,Pull laine,4,3537.96
2024-11-15,Bricolage,Boîte à outils,3,249.63
2024-11-15,Mode,Veste hiver,2,1180.78
2024-11-16,Mode,Robe été,2,593.04
2024-11-16,Sport,Raquette tennis,2,1412.38
2024-11-16,Sport,Tapis yoga,1,658.36
2024-11-16,Maison,Canapé 3 places,1,246.23
2024-11-16,Maison,Canapé 3 places,3,701.76
2024-11-16,Mode,T-shirt coton,3,1438.31
2024-11-16,Sport,Maillot bain,4,1403.08
2024-11-16,Sport,Raquette tennis,2,1412.38
2024-11-17,Électroménager,Micro-ondes,3,1359.48
2024-11-17,Maison,Étagère bois,3,838.77
2024-11-18,Électroménager,Bouilloire,2,1452.08
2024-11-18,Électroménager,Robot cuiseur,1,249.97
2024-11-18,Électroménager,Réfrigérateur,1,387.37
2024-11-18,Électroménager,Bouilloire,2,1452.08
2024-11-18,Électroménager,Aspirateur,3,573.54
2024-11-19,Électroménager,Micro-ondes,1,453.16
2024-11-19,Mode,Jean homme,2,544.54
2024-11-20,Sport,Chaussures running,1,569.53
2024-11-22,Électroménager,Micro-ondes,2,906.32
2024-11-22,Mode,Jean homme,3,816.81
2024-11-22,Sport,Maillot bain,4,1403.08
2024-11-23,Sport,Raquette tennis,4,2824.76
2024-11-23,Bricolage,Tournevis set,2,1272.56
2024-11-23,Mode,Jean homme,1,272.27
2024-11-24,Électroménager,Micro-ondes,2,906.32
2024-11-24,Bricolage,Peinture 5L,2,1157.1
2024-11-25,Bricolage,Peinture 5L,4,2314.2
2024-11-26,Bricolage,Tournevis set,1,636.28
2024-11-26,Maison,Canapé 3 places,3,738.69
2024-11-26,Maison,Rideau occultant,4,404.84
2024-11-26,Bricolage,Perceuse,1,105.66
2024-11-26,Mode,Pull laine,3,2653.47
2024-11-28,Bricolage,Boîte à outils,1,83.21
2024-11-28,Maison,Couette 220x240,3,672.27
2024-11-28,Sport,Tapis yoga,1,625.44
2024-11-29,Mode,Pull laine,5,4422.45
2024-11-29,Maison,Lampe LED,3,362.39
2024-11-29,Bricolage,Perceuse,5,528.3
2024-11-30,Sport,Maillot bain,2,701.54
2024-12-01,Sport,Raquette tennis,8,5367.04
2024-12-01,Sport,Chaussures running,5,2847.65
2024-12-01,Sport,Chaussures running,6,3417.18
2024-12-02,Mode,Robe été,7,2075.64
2024-12-02,Électroménager,Cafetière,3,1176.72
2024-12-02,Maison,Canapé 3 places,8,1969.84
2024-12-03,Maison,Set casseroles,4,2261.92
2024-12-04,Maison,Canapé 3 places,4,984.92
2024-12-04,Mode,Veste hiver,9,5903.91
2024-12-04,Bricolage,Échelle alu,3,1064.01
2024-12-05,Sport,Haltères 10kg,4,393.2
2024-12-06,Électroménager,Aspirateur,4,764.72
2024-12-06,Mode,Pull laine,6,5306.94
2024-12-07,Électroménager,Bouilloire,4,2904.16
2024-12-07,Maison,Canapé 3 places,1,246.23
2024-12-07,Mode,Baskets ville,3,1381.53
2024-12-08,Maison,Lampe LED,6,805.32
2024-12-08,Bricolage,Perceuse,6,602.26
2024-12-09,Mode,Jean homme,7,1905.89
2024-12-09,Bricolage,Tournevis set,3,1813.4
2024-12-09,Bricolage,Tournevis set,3,1908.84
2024-12-09,Électroménager,Micro-ondes,6,2718.96
2024-12-11,Sport,Haltères 10kg,2,196.6
2024-12-11,Électroménager,Robot cuiseur,3,749.91
2024-12-11,Électroménager,Robot cuiseur,4,999.88
2024-12-11,Électroménager,Robot cuiseur,2,499.94
2024-12-12,Maison,Étagère bois,8,2236.72
2024-12-12,Maison,Set casseroles,5,3534.25
2024-12-12,Bricolage,Boîte à outils,10,832.1
2024-12-12,Bricolage,Boîte à outils,2,166.42
2024-12-13,Électroménager,Réfrigérateur,4,1549.48
2024-12-13,Sport,Raquette tennis,5,2824.76
2024-12-13,Électroménager,Robot cuiseur,9,2249.73
2024-12-14,Bricolage,Échelle alu,6,2128.02
2024-12-14,Sport,Vélo VTT,2,1090.42
2024-12-15,Mode,Robe été,4,948.86
2024-12-15,Électroménager,Bouilloire,6,4356.24
2024-12-15,Électroménager,Cafetière,7,2745.68
2024-12-15,Mode,Robe été,4,1186.08
2024-12-16,Électroménager,Bouilloire,2,1452.08
2024-12-16,Électroménager,Cafetière,3,1176.72
2024-12-17,Mode,Pull laine,1,884.49
2024-12-17,Bricolage,Peinture 5L,2,1218.0
2024-12-18,Sport,Vélo VTT,1,545.21
2024-12-18,Mode,Veste hiver,6,3739.14
2024-12-19,Maison,Canapé 3 places,8,1969.84
2024-12-19,Maison,Canapé 3 places,5,1231.15
2024-12-19,Bricolage,Tournevis set,2,1272.56
2024-12-19,Sport,Raquette tennis,1,706.19
2024-12-20,Mode,Veste hiver,2,1311.98
2024-12-20,Électroménager,Réfrigérateur,2,774.74
2024-12-21,Sport,Haltères 10kg,1,98.3
2024-12-21,Mode,Pull laine,5,4422.45
2024-12-21,Bricolage,Boîte à outils,4,332.84
2024-12-21,Électroménager,Bouilloire,6,4356.24
2024-12-22,Maison,Set casseroles,6,4241.1
2024-12-23,Mode,Jean homme,4,1089.08
2024-12-23,Électroménager,Bouilloire,4,2904.16
2024-12-23,Maison,Canapé 3 places,6,1477.38
2024-12-24,Mode,T-shirt coton,3,1514.01
2024-12-24,Mode,Veste hiver,2,1311.98
2024-12-25,Sport,Raquette tennis,3,1694.86
2024-12-25,Maison,Lampe LED,6,805.32
2024-12-25,Bricolage,Tournevis set,2,1145.3
2024-12-27,Électroménager,Aspirateur,3,544.86
2024-12-27,Sport,Tapis yoga,6,3555.14
2024-12-27,Électroménager,Micro-ondes,8,3625.28
2024-12-27,Sport,Raquette tennis,5,3530.95
2024-12-28,Maison,Rideau occultant,5,506.05
2024-12-28,Mode,Baskets ville,7,3223.57
2024-12-28,Sport,Haltères 10kg,8,786.4
2024-12-28,Mode,T-shirt coton,6,3028.02
2024-12-28,Électroménager,Robot cuiseur,10,2499.7
2024-12-28,Sport,Raquette tennis,6,4237.14
2024-12-28,Sport,Raquette tennis,1,706.19
2024-12-29,Électroménager,Bouilloire,6,4356.24
2024-12-29,Bricolage,Boîte à outils,7,582.47
2024-12-29,Maison,Rideau occultant,5,506.05
2024-12-29,Électroménager,Micro-ondes,5,2265.8
2024-12-30,Mode,Jean homme,2,544.54
2024-12-30,Maison,Rideau occultant,7,708.47
2024-12-30,Bricolage,Perceuse,2,211.32
